Node,Is Injection,Is Hvdc,Bus Id,Location Name,Load Area,Island Name,Region,Generation Type
TKA0111 TKA1,T,F,TKA0111,TKA,Canterbury,South Island,South Canterbury,Hydro
TKA0111 TKA9,T,F,TKA0111,TKA,Canterbury,South Island,South Canterbury,Hydro
TKA0111 TKA0,T,F,TKA0111,TKA,Canterbury,South Island,South Canterbury,Hydro
TKA0111,F,F,TKA0111,TKA,Canterbury,South Island,South Canterbury,Load
TKA0331,F,F,TKA0331,TKA,Canterbury,South Island,South Canterbury,Load
TKB2201 TKB1,T,F,TKB2201,TKB,Canterbury,South Island,South Canterbury,Hydro
TKB2201,F,F,TKB2201,TKB,Canterbury,South Island,South Canterbury,Load
TKB2201 TKC0,T,F,TKB2201,TKB,Canterbury,South Island,South Canterbury,Hydro
TKB2201 TKB0,T,F,TKB2201,TKB,Canterbury,South Island,South Canterbury,Hydro
TKH0111,F,F,TKH0111,TKH,Bay of Plenty,North Island,Bay Of Plenty,Load
TKR0331,F,F,TKR0331,TKR,Wellington,North Island,Wellington,Load
TKU0331 KUR0,T,F,TKU0331,TKU,Waikato Taupo King Country,North Island,Central,Hydro
TKU0331,F,F,TKU0331,TKU,Waikato Taupo King Country,North Island,Central,Load
TKU2201,F,F,TKU2201,TKU,Waikato Taupo King Country,North Island,Central,Load
